Nombre Entidad,Tipo Entidad,Atributo,Clave,Null?,Tipo_Dato,PK,FK,NULL,Observaciones
personas,Fuerte,id_persona,PK,no,Entero,x,,,Identificador único secuencial de la persona física o jurídica
personas,Fuerte,nombre,,no,Texto,,,,Nombre o razón social de la persona
personas,Fuerte,apellido,,no,Texto,,,,Apellido o denominación legal de la persona
personas,Fuerte,numero_identificacion,,si,Texto,,,x,Número de identificación principal de la persona
personas,Fuerte,cuit,,si,Texto,,,x,Número de CUIT o CUIL tributario
personas,Fuerte,nacionalidad,,si,Texto,,,x,Nacionalidad de la persona
personas,Fuerte,sexo,,si,Texto,,,x,Género / Sexo legal
personas,Fuerte,fecha_nacimiento,,si,Fecha,,,x,Fecha de nacimiento de la persona física
personas,Fuerte,estado_civil,,si,Texto,,,x,Soltero/a Casado/a Divorciado/a Viudo/a
personas,Fuerte,numero_nupcias,,si,Entero,,,x,Número de nupcias contraídas si aplica
personas,Fuerte,ocupacion,,si,Texto,,,x,Ocupación declarada
personas,Fuerte,profesion,,si,Texto,,,x,Profesión u oficio
personas,Fuerte,domicilio,,si,Texto,,,x,Dirección física o domicilio real/legal
personas,Fuerte,localidad,,si,Texto,,,x,Localidad de residencia
personas,Fuerte,provincia,,si,Texto,,,x,Provincia de residencia
personas,Fuerte,telefono,,si,Texto,,,x,Número de teléfono fijo de contacto
personas,Fuerte,celular,,si,Texto,,,x,Número de teléfono celular de contacto
personas,Fuerte,email,,si,Texto,,,x,Correo electrónico de contacto
personas,Fuerte,e_mail,,si,Texto,,,x,Columna histórica de correo electrónico
personas,Fuerte,registro_escribano,,si,Entero,,,x,Número de registro notarial asignado (solo escribanos)
personas,Fuerte,es_escribano,,no,Lógico,,,,Indica si la persona es un escribano titular o adjunto
personas,Fuerte,es_cliente,,no,Lógico,,,,Indica si la persona es cliente de la escribanía
personas,Fuerte,observaciones,,si,Texto,,,x,Observaciones adicionales del perfil
personas,Fuerte,fk_id_tipo_identificacion,FK,si,Entero,,x,x,Tipo de identificación principal asignado
personas,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
tipos_identificacion,Fuerte,id_tipo_identificacion,PK,no,Entero,x,,,Identificador único del tipo de identificación
tipos_identificacion,Fuerte,nombre,,no,Texto,,,,Tipo de documento (DNI CUIT CUIL Pasaporte CI LC LE)
tipos_identificacion,Fuerte,caracteres,,no,Texto,,,,Patrón o formato esperado de caracteres
tipos_identificacion,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
identificaciones,Asociativa,fk_id_tipo_identificacion,PK,no,Entero,x,x,,Clave foránea al tipo de identificación (3FN)
identificaciones,Asociativa,fk_id_persona,PK,no,Entero,x,x,,Clave foránea a la persona propietaria del documento
identificaciones,Asociativa,numero,,no,Texto,,,,Número alfanumérico de documento o clave tributaria
usuarios,Débil,id_usuario,PK,no,Entero,x,,,Identificador único de cuenta de usuario del sistema
usuarios,Débil,nombre,,no,Texto,,,,Nombre de usuario único para inicio de sesión
usuarios,Débil,contrasenia,,no,Texto,,,,Contraseña cifrada/hash del usuario
usuarios,Débil,estado,,no,Lógico,,,,Estado del usuario (Activo / Inactivo)
usuarios,Débil,tipo,,no,Texto,,,,Rol descriptivo tradicional
usuarios,Débil,fk_id_persona,FK,no,Entero,,x,,Clave foránea a la persona física que opera la cuenta
usuarios,Débil,fk_id_rol,FK,si,Entero,,x,x,Rol de seguridad asignado (V9)
usuarios,Débil,version,,no,Entero,,,,Control de concurrencia optimista
roles,Fuerte,id_rol,PK,no,Entero,x,,,Identificador único del rol de usuario (V9)
roles,Fuerte,nombre,,no,Texto,,,,Nombre único del rol (Administrador Escribano Secretaria etc.)
roles,Fuerte,descripcion,,si,Texto,,,x,Descripción de los alcances del rol
roles,Fuerte,activo,,no,Lógico,,,,Indica si el rol está habilitado
roles,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
roles_permisos,Asociativa,fk_id_rol,PK,no,Entero,x,x,,Rol al que se le otorga el permiso
roles_permisos,Asociativa,modulo,PK,no,Texto,x,,,Módulo o funcionalidad permitida
registro_auditoria,Débil,id_registro_auditoria,PK,no,Entero,x,,,Identificador único del registro de auditoría
registro_auditoria,Débil,fecha,,no,Fecha/Hora,,,,Timestamp exacto de la operación registrada
registro_auditoria,Débil,modulo,,no,Texto,,,,Módulo o subsistema donde se produjo la acción
registro_auditoria,Débil,detalle_operacion,,no,Texto,,,,Descripción detallada del cambio o evento realizado
registro_auditoria,Débil,fk_id_usuario,FK,no,Entero,,x,,Usuario responsable de la acción
registro_auditoria,Débil,version,,no,Entero,,,,Control de concurrencia optimista
suplencias,Asociativa,id_suplencia,PK,no,Entero,x,,,Identificador único de la suplencia notarial
suplencias,Asociativa,fecha_inicio,,no,Fecha,,,,Fecha inicial de la suplencia o licencia
suplencias,Asociativa,fecha_fin,,si,Fecha,,,x,Fecha final de la suplencia
suplencias,Asociativa,observaciones,,si,Texto,,,x,Motivo o detalles de la suplencia
suplencias,Asociativa,fk_id_suplantado,FK,no,Entero,,x,,Escribano titular que toma licencia
suplencias,Asociativa,fk_id_suplente,FK,no,Entero,,x,,Escribano designado como suplente
suplencias,Asociativa,version,,no,Entero,,,,Control de concurrencia optimista
estados_de_gestion,Fuerte,id_estado_gestion,PK,no,Entero,x,,,Identificador único del estado de trámite/gestión
estados_de_gestion,Fuerte,nombre,,no,Texto,,,,Nombre del estado (Generado En proceso Listo para firmar Firmado Para inscribir Inscripto Archivado Cancelado)
estados_de_gestion,Fuerte,observaciones,,si,Texto,,,x,Descripción del estado y sus condiciones
estados_de_gestion,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
workflow_definition,Fuerte,id_workflow_definition,PK,no,Entero,x,,,Identificador único del grafo de workflow (V7)
workflow_definition,Fuerte,nombre,,no,Texto,,,,Nombre del flujo de trabajo
workflow_definition,Fuerte,descripcion,,si,Texto,,,x,Descripción del proceso modelado
workflow_definition,Fuerte,activo,,no,Lógico,,,,Indica si la definición está activa
workflow_definition,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
workflow_node,Débil,id_workflow_node,PK,no,Entero,x,,,Identificador del nodo en el grafo de workflow (V7)
workflow_node,Débil,fk_workflow_definition_id,FK,no,Entero,,x,,Workflow al que pertenece el nodo
workflow_node,Débil,fk_estado_gestion_id,FK,no,Entero,,x,,Estado de gestión asociado al nodo
workflow_node,Débil,tipo,,no,Texto,,,,Tipo de nodo (INITIAL INTERMEDIATE FINAL)
workflow_node,Débil,posicion_x,,si,Real,,,x,Coordenada X en el editor visual
workflow_node,Débil,posicion_y,,si,Real,,,x,Coordenada Y en el editor visual
workflow_node,Débil,version,,no,Entero,,,,Control de concurrencia optimista
workflow_transition,Débil,id_workflow_transition,PK,no,Entero,x,,,Identificador de la transición dirigida (V7)
workflow_transition,Débil,fk_workflow_definition_id,FK,no,Entero,,x,,Workflow al que pertenece la transición
workflow_transition,Débil,fk_nodo_origen_id,FK,no,Entero,,x,,Nodo origen de la transición
workflow_transition,Débil,fk_nodo_destino_id,FK,no,Entero,,x,,Nodo destino de la transición
workflow_transition,Débil,condicion,,si,Texto,,,x,Condición de guarda para ejecutar la transición
workflow_transition,Débil,descripcion,,si,Texto,,,x,Descripción de la acción que dispara el cambio
workflow_transition,Débil,version,,no,Entero,,,,Control de concurrencia optimista
gestiones_de_escrituras,Fuerte,id_gestion,PK,no,Entero,x,,,Identificador único de la carpeta/gestión de escrituras
gestiones_de_escrituras,Fuerte,numero,,no,Entero,,,,Número correlativo de gestión de escrituras
gestiones_de_escrituras,Fuerte,fecha_inicio,,no,Fecha,,,,Fecha de apertura de la carpeta de gestión
gestiones_de_escrituras,Fuerte,encabezado,,no,Texto,,,,Carátula o título descriptivo de la gestión
gestiones_de_escrituras,Fuerte,observaciones,,si,Texto,,,x,Observaciones y notas sobre la gestión
gestiones_de_escrituras,Fuerte,numero_bibliorato,,si,Entero,,,x,Número de bibliorato de archivo físico
gestiones_de_escrituras,Fuerte,numero_archivo,,si,Entero,,,x,Número correlativo de archivo asignado al completarse
gestiones_de_escrituras,Fuerte,fk_id_persona_escribano,FK,no,Entero,,x,,Escribano a cargo de la gestión
gestiones_de_escrituras,Fuerte,fk_id_estado_de_gestion,FK,si,Entero,,x,x,Estado actual consolidado de la gestión
gestiones_de_escrituras,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
historial,Débil,id_historial,PK,no,Entero,x,,,Identificador del registro histórico de estado
historial,Débil,fecha,,no,Fecha/Hora,,,,Fecha y hora exacta de la transición de estado
historial,Débil,observaciones,,si,Texto,,,x,Notas asociadas al cambio de estado
historial,Débil,fk_id_gestion,FK,no,Entero,,x,,Gestión sobre la que opera la transición
historial,Débil,fk_id_estado_gestion,FK,no,Entero,,x,,Estado alcanzado en la transición
historial,Débil,version,,no,Entero,,,,Control de concurrencia optimista
tipos_de_tramite,Fuerte,id_tipo_tramite,PK,no,Entero,x,,,Identificador único del tipo de trámite notarial
tipos_de_tramite,Fuerte,nombre,,no,Texto,,,,Denominación del trámite (Compraventa Poder Hipoteca etc.)
tipos_de_tramite,Fuerte,se_archiva,,no,Lógico,,,,Indica si el trámite requiere archivo físico con bibliorato
tipos_de_tramite,Fuerte,se_inscribe,,no,Lógico,,,,Indica si requiere inscripción en el Registro de la Propiedad
tipos_de_tramite,Fuerte,asocia_inmuebles,,no,Lógico,,,,Indica si involucra datos de inmuebles o catastrales
tipos_de_tramite,Fuerte,habilitado,,no,Lógico,,,,Indica si el tipo de trámite está activo para nuevas gestiones
tipos_de_tramite,Fuerte,observaciones,,si,Texto,,,x,Detalles adicionales y encuadre normativo
tipos_de_tramite,Fuerte,fk_workflow_definition_id,FK,si,Entero,,x,x,Workflow asociado al tipo de trámite (V8)
tipos_de_tramite,Fuerte,version,,no,Entero,,,,Control de concurrencia optimista
plantilla_tramites,Asociativa,fk_id_tipo_tramite,PK,no,Entero,x,x,,Tipo de trámite al que aplica la plantilla
