CU,Modulo,Grado,Estado,% Progreso,Doc Sistema,% Progreso,Doc. Código,% Progreso,Auditoria,Concurrencia,Observaciones
CU01 – Preparar Presupuesto,Presupuestos,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,no aplicable,
CU02 – Iniciar Gestión,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,No Aplicable,
CU03 – Lista documentos y certificados necesarios,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
CU04 – Registrar documentación cliente,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU05 – Preparar escritura,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU06 – Firmar escritura,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU07 – Generar testimonio,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Deberia controlarse que no se genere el mismo testimonio para la misma escritura a la vez?,
CU08 – Verificar Testimonio,Gestiones,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,no aplicable,
CU09 – Registrar deudas documentos de Cliente,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU10 – Registrar movimientos documentación de entidades externas,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU11 – Ingresar para inscripción,Gestiones,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU12 – Retirar testimonio,Gestiones,Necesario,Terminado,100,Terminado,100,Terminado,100,,,
CU13 – Ver historial de gestión,Gestiones,Estaría Bueno,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
CU14 – Consultar estado gestión,Gestiones,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,"Este CU quedó eliminado/reemplazado por Ver Detalle Gestion, debido a que en esta pantalla ya se muestra el estado actual de la gestión"
CU15 – Procesar pago,Pagos,Estaria Bueno,,0,,,,,,,
CU16 – Archivar Gestión,Gestiones,Necesario,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU17 – Dar Alta persona,Clientes,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,No Aplicable,
CU18 – Dar Alta Cliente,Clientes,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU19 – Buscar gestiones de un Cliente,Clientes,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
CU20 – Dar alta usuario,Administracion,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,No Aplicable,
CU21 – Modificar Usuario,Administracion,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,Listo,
CU22 – Registrar Suplencia,Administracion,Esencial,Terminado,100,Terminado,100,Terminado,100,Listo,No Aplicable,
CU23 – Ver registro de actividades de usuario,Administracion,Necesario,Terminado,100,Terminado,100,Terminado,100,No Aplicable,No Aplicable,
