Boton,Modulo,Opcion,Detalle,Acción,Estado,Observaciones
Administración,Folios,Administrar Folios (Tipos de Folio),Ocultar boton guardar y eliminar si no hay nada en la grilla,Reparar,Arreglado,
Administración,Folios,Administrar Folios (Tipos de Folio),Cuando presiono la cruz y no hay nada cargado,Reparar,Arreglado,
Administración,Folios,Administrar Folios (Tipos de Folio),"Sin seleccionar nada de la crilla cuando esta carga, si presionamos eliminar ",Reparar,Arreglado,
Administración,Folios,Administrar Folios (Tipos de Folio),Idem anterior con modificar,Reparar,Arreglado,
Administración,Folios,Administrar Folios (Tipos de Folio),Al crearlo si no pongo nombre lo crea igual,Reparar,Arreglado,
Administración,Folios,Administrar Folios (Tipos de Folio),Permite modificar con los campos en blanco,Reparar,Arreglado,
Administración,Folios,Administrar Folios (Tipos de Folio),"No se puede eliminar un tipo de folio, se le debe cambiar el estado a “no disponible”",Reparar,Arreglado,
Administración,Usuarios,Buscar,"Cuando alterno el campo de busqueda se va de foco el cursor, arreglar radio botton",Reparar,Arreglado,
Administración,Usuarios,Dar Alta Usuario,"cambiar mensaje verifique constrasenia por ""Completar todos los campos de usuario""",Reparar,Arreglado,
Administración,Usuarios,Dar Alta Usuario,Cuando doy buscar limpiar formulario dar alta usuario,Reparar,Arreglado,
Administración,Usuarios,Modifiacar Usuario,"cambiar mensaje verifique constrasenia por ""Completar todos los campos de usuario""",Reparar,Arreglado,
Administración,Usuarios,Modifiacar Usuario,"No permitir que se seleccione mas de una fila, cambiar propiedades de la grilla",Reparar,Arreglado,
Administración,Usuarios,Modifiacar Usuario,"No permitir nombres de usuarios con espacios , y limitar cantidad de carcteres en el campo y aclararlo",Reparar,Arreglado,
Administración,Escribano,Modificar escribano,Agregar icono,Reparar,Arreglado,
Administración,Escribano,Dar Alta Escribano,"El buscar que utiliza hace referencia a listar usuarios, hay codigo comentado por juanca, porque daba error.",Reparar,Arreglado,La logica para dar alta/modificar esta mal
Administración,Escribano,Registrar Suplencia ,"Cuando precionamos boton verde sin seleccionar nada, da error",Reparar,Arreglado,
Administración,Escribano,Registrar Suplencia ,"Cuando se cargar la lista de escribanos disponibles, se debe asegurar que los escribanos estén habilitados (que no se encuentren realizado otra suplencia: CONSULTAR)",Consultar,No Aplicable,Si se puede. Un escribano puede suplantar a varios en un mismo periodo
Administración,Escribano,Registrar Suplencia ,Carga el escribano suplente igual que el suplantado,Reparar,Arreglado,"Arreglar, debería haber 2 selecciones: una para el suplantado y otra para el supletente"
Administración,Escribano,Registrar Suplencia ,Si damos aceptar y no ponemos fecha da error,Reparar,Arreglado,
Administración,Escribano,Registrar Suplencia ,Agregar controles de campos vacios en general,Reparar,Arreglado,
Administración,Escribano,Registrar Suplencia ,"Te deja suplantar a vos mismo, no deberia",Reparar,Arreglado,
Administración,Escribano,Modificar escribano,Idem boton buscar de dar alta ecribano,Reparar,Arreglado,
Administración,Tramites,Ingresar Tipo de Tramite,Da de alta un tipo de tramite sin completar ningun campo ,Reparar,Arreglado,Utilice keyPressed
Administración,Tramites,Modificar Tipo de Tramite,Da error al aceptar sin cargar ningun campo,Reparar,Arreglado,
Administración,Tramites,Modificar Tipo de Tramite,Idem boton verde,Reparar,Arreglado,
Administración,Tramites,Eliminar Tipo de Tramite,Verificar campos vacios - boton verde da error,Reparar,Arreglado,
Administración,Documentos,Ingresar Documento,Verificar campos al darle aceptar,Reparar,Arreglado,
Administración,Documentos,Modificar Documentos,Boton verde da error,Reparar,Arreglado,
Administración,Documentos,Modificar Documentos,"Permite seleccionar dos items, cambiar propiedades de tabla",Reparar,Arreglado,
Administración,Documentos,Eliminar Documentos,Al aceptar da error,Reparar,Arreglado,
Administración,Documentos,Ingresar Documento,Limpiar formularios,Reparar,Arreglado,
Administración,Conceptos,Ingresar Concepto,"El campo valor acepta texto y no deberia, da erro.",Reparar,Arreglado,
Administración,Conceptos,Ingresar Concepto,"Agregar control de radio botton para que el usuario coloque valor ó porcentaje, no ambos",Reparar,Arreglado,
Administración,Conceptos,Modificar Concepto,Cuando hacemos click sobre boton verde da error,Reparar,Arreglado,
Administración,Conceptos,Modificar Concepto,Desabilitar campos si no selecciono un conceptoa a modificar,Reparar,Arreglado,
Administración,Conceptos,Modficiar Concepto,"No modifica, da cartel de datos invalidos",Reparar,Arreglado,
Administración,Conceptos,Eliminar Concepto,Da error boton aceptar al no seleccionar nada,Reparar,Arreglado,
Administración,Conceptos,Eliminar Concepto,"No elimina el concepto, dice que SI pero no lo elimina.",Reparar,Arreglado,"No lo elimina, lo deshabilita para utilizarlo en nuevas plantillas."
Administración,Estados de Gestion,Ingresar Estado,Deja crear un nuevo estado con los campos vacios,Reparar,Arreglado,
Administración,Estados de Gestion,Modificar Estado,Agregar controles de verificacion de campo,Reparar,Arreglado,
Administración,Plantillas Presupuesto,Crear Plantilla Presupuesto,Agregar controles de verificacion de campo,Reparar,Arreglado,
Administración,Plantillas Presupuesto,Modificar Plantilla Presupuesto,No funciona y hay Agregar controles de verificacion de campo,Reparar,Arreglado,
Administración,Plantillas Presupuesto,Eliminar Plantilla Presupuesto,No funciona y hay Agregar controles de verificacion de campo,Reparar,Arreglado,
Clientes,Dar Alta Persona,Dar Alta Persona,Avisar cuando en nro de identificacion se coloca caracteres != de numeros,Reparar,Arreglado,
Clientes,Modificar Persona,Modificar Persana,Avisar cuando en nro de identificacion se coloca caracteres != de numeros,Reparar,Arreglado,
Cleintes,Modificar Cliente,Modificar Cliente,Controlar cuando modifico datos de cliente o persona,Reparar,Arreglado,
Clientes,Dar Alta Cliente,Dar Alta Cliente,"Agregar regla de negocio: Para dar de alta un cliente, si o si debe estar dado de alta como persona. Esto es asi porque para un presupuesto damos de alta una persona sin que sea necesariamente un cliente.",Reparar,Arreglado,
Clientes,Dar Alta Cliente,Dar Alta Cliente,El número de nupcias no puede ser negativo,Reparar,Arreglado,
Clientes,Buscar Cliente,Buscar Cliente,"Cambiar los texto,  para quetambien esta opcion busque personas aunque no sean clientes",Reparar,Arreglado,
Presupuesto,Crear Presupuesto,Crear Presupuesto,Verificar cuando un tramite tiene asociado un inmueble que se ingresen los datos,,Arreglado,
Crear Presupuesto,Crear Presupuesto,Crear Presupuesto,"cuando se selecciona buscar, no trae la persona, controlar el tipo de busqueda que se esta llamando",,Arreglado,
Presupuesto,Crear Presupuesto,Crear Presupuesto,Agregar control de campos y limpiar formularios al cerrarse,Reparar,Arreglado,
Presupuesto,Crear Presupuesto,Crear Presupuesto,Implementar boton imprimir reporte de detalle valores de tramites,Reparar,Arreglado,
Presupuesto,Crear Presupuesto,Busca Inmueble,Agregar control de validación,Reparar,Arreglado,
Crear Presupuesto,Modificar Presupuesto,Modificar Presupuesto,Permitir al usuario eliminar items,Reparar,Arreglado,
Crear Presupuesto,Modificar Presupuesto,Modificar Presupuesto,Revisar Validacion,Reparar,Arreglado,
Crear Presupuesto,Modificar Presupuesto,Modificar Presupuesto,No funciona,Reparar,Arreglado,
Barra Principal,Barra Principal,Boton Presupuestos,Se corta el texto del boton,Reparar,Arreglado,
Gestiones,Modificar Gestion,Modificar Gestion,Agregar campo observaciones,Reparar,Arreglado,
Protocolo,Ingresar folios,Ingresar Folios,"Si se ingresan folios de años anteriores, lanzar un cartel de advertencia",Reparar,Arreglado,
Protocolo,Ingresar folios,Ingresar Folios,Controlar que los numeros de los folios a ingresar ya no hayan sido registrados,Reparar,Arreglado,
Clientes,Buscar Cliente,Buscar Cliente,Se lanza un NullPointerExcepcion en algunos casos cuando le pido que busque a una persona que no existe.,Reparar,Arreglado,
Presupuesto,Modificar Presupuesto,Buscar presupuesto por documento del cliente,"En ListaPresupuestosCliente hay que sacar el comboBox, no aparece en el disenio, sino en el código, y cuando lo ejecuto de ve. No va más.",Reparar,Arreglado,
Presupuesto,Modificar Presupuesto,Items,"Tener en cuenta los Items de valor variable y fijo, para editarlos o no. Hacer dos grillas, una que muestre los conceptos fijos y otra los variables.",Reparar,Arreglado,
Conceptos,Crear Concepto,Crear Concepto,"El Concepto puede tener un valor fijo o variable, poner opcion. Agregar campo ""tipo de concepto""",Reparar,Arreglado,
Plantilla Presupuesto,Modificar Plantilla de Presupuesto,Modificar Plantilla de Presupuesto,Mostrar los conceptos asociados y solo modificar los que esten habilitados,Reparar,Arreglado,
Tipo de Trámite,Modificar Tipo de Tramite,Modificar Tipo de Tramite,Mostrar los documentos asociados y solo modificar los que esten habilitados,Reparar,Arreglado,
Administración,Usuarios,Dar Alta usuario,Que las claves no sean vacias,Reparar,Arreglado,
Administración,Ususario,Modificar usuario,error en version,Reparar,Arreglado,
Administración,Documentos,Modificar Documentos,los dias a  vencer no deben ser negativos,Reparar,Arreglado,
Administración,Conceptos,Modificar Concepto,"Actualizar grilla, y dar error set atributos",Reparar,Arreglado,
Clientes,Persona,Dar alta persona,Permitir solo letras,Reparar,Arreglado,"Duda, ejemplo persona juridica?"
Clientes,Persona,Modificar persona,Permitir solo letras,Reparar,Arreglado,"Duda, ejemplo persona juridica?"
Presupuesto,Crear Presupuesto,Buscar,No busca por aproximacion,Reparar,Arreglado,
Escribanos,Dar Alta escribano,Buscar,"Agregar en la opcion busqueda por documento, en el switch ""dar alta escribano""",Reparar,Arreglado,
Escribano,Modificar escribano,Buscar,Buscar -> en la grilla no se puede seleccionar un escribano.,Reparar,Arreglado,
