Modulo,Ventana,Cambios,Estado,Observaciones
Clientes,Clientes,"Poner el boton ""Personas/Clientes""",Terminado,
Administración,Modificar usuario,"Poner boton Aceptar/Cancelar, deshabilitar los campos de entrada",Terminado,
Administración,Ver Registro Usuarios,Mover boton cerrar,Terminado,
Clientes,Buscar Cliente,Deshabilitar los combos al mostrar la info del cliente,Terminado,
Clientes,Buscar Cliente,"Buscar solo las personas que no son clientes, cuando el usuario desea dar de alta un cliente. Cuando desea modificar una persona, busca tanto clientes como personas. Permitiendo modificar solo los datos de persona. Para modificar los datos del cliente, debe usar el modulo modificar cliente.",Terminado,
Personas,Buscar Persona,"Mostrar solo las personas, no los clientes",Terminado,
TODOS,TODOS,"Poner boton Aceptar/Cancelar, sacar los que cumplen con la misma funcion y reemplazarlos por estos",Sin Comenzar,
Administración,Modificar Escribano,"Muestre solo los escribanos y si no hay, que muestre un cartel y se cierre.",Terminado,
Administración,Registrar Suplencia,Solo dejarlo como una informacion,Terminado,
Administración,Registrar Suplencia,Sacar boton de eliminar!!!! Que limpie los campos automaticamente. Deshabilitar los campos hasta que se tengan q utilizar,Sin Comenzar,No me parece!
,,,,
Administración,Eliminar Documento,Hacerlo como Eliminar Tramite,Terminado,
Administración,Eliminar Tramite,Deshabilitar los campos!,Terminado,
Administración,ELIMINAR,Ver la forma mas facil y correcta de hacerlo!,Sin Comenzar,
Administración,Modificar Estado de Gestion,Sacar boton de eliminar!!!! Que limpie los campos automaticamente. Deshabilitar los campos hasta que se tengan q utilizar.,Terminado,
TODOS,TODOS,"Deshabilitar campos de modificacion hasta que se seleccione lo que se va a modificar, lo mismo con el boton Aceptar.",Sin Comenzar,
Presupuestos,Crear Presupuesto,"Deshabilitar los campos, y limpiar lista de tramites",Terminado,
Presupuestos,Modificar Presupuesto,Deshabilitar los campos,Terminado,
Administración,Administrar Folios,Usar los 3 botones,Terminado,
TODOS,TODOS,Controlar tamanio de ventanas!,Sin Comenzar,
Administración,Usuarios,"Modulo, Ver Registros actividades usuarios, quitar icono en cerrar",Terminado,
TODOS,TODOS,Arreglar scrolls,Sin Comenzar,
Usuarios,Log in,"Administracion de usuarios en la GUI, de acuerdo al tipo de usuario mostrar sus funciones habilitadas",Sin Comenzar,
Administración,Conceptos,Arreglar eliminar concepto!,Terminado,
TODOS,TODOS,Cerrar las ventanas que quedan en el camino!,,
