name,color,description
bug,d73a4a,Something isn't working
documentation,0075ca,Improvements or additions to documentation
duplicate,cfd3d7,This issue or pull request already exists
enhancement,a2eeef,New feature or request
good first issue,7057ff,Good for newcomers
help wanted,008672,Extra attention is needed
invalid,e4e669,This doesn't seem right
question,d876e3,Further information is requested
wontfix,ffffff,This will not be worked on
requerimiento-funcional,36a64f,Requerimiento funcional del sistema
requerimiento-no-funcional,ff9800,Requerimiento no funcional (rendimiento, seguridad, etc)
BACKEND,1d76db,API REST, servicios, persistencia
DB,d4a5a5,Schema, migración, optimización
FRONTEND,84b6eb,Swing forms, UI, client REST
DEVOPS,7cd5b4,Docker, CI/CD, deployment
TEST,9b59b6,Unit tests, integration tests, E2E
DOC,fad8c3,Documentación técnica/usuario
REFACTOR,bfdadc,Mejora de código sin cambio funcional
CASO-DE-USO,00b4d8,Caso de uso del sistema
TAREA,cccccc,Tarea general de desarrollo
DOCUMENTACION,0075ca,Documentación técnica o de usuario
MEJORAS,a2eeef,Mejora o enhancement
priority:critical,b60205,Bloqueante, crítico para el negocio
priority:high,d93f0b,Alta prioridad
priority:medium,fbc02d,Prioridad media
priority:low,0e8a16,Prioridad baja
blocked,ef9998,Bloqueado por dependencia
in-review,7057ff,En revisión
needs-info,d876e3,Necesita más información
ready-for-dev,00b4d8,Listo para desarrollo
